鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
內湖區,房地(土地+建物),臺北市內湖區江南街71巷16弄31~60號,29.03,住,,,1071030,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730502,109.35999999999999,3,2,2,有,無,16000000,146306,,0.0,0,,RPPOMLOLKINFFCA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區大湖山莊街151巷1~30號,42.78,住,,,1071128,土地1建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780501,150.47,3,2,2,有,無,17000000,112979,坡道平面,34.07,0,,RPVPMLOLKINFFCA38CA
內湖區,房地(土地+建物),臺北市內湖區康樂街136巷15弄31~60號,12.65,住,,,1071115,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0941123,66.64,3,2,2,有,有,12200000,183073,,0.0,0,含增建或未登記建物。;,RPUPMLPLKINFFCA38CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段62巷1~30號,12.85,商,,,1071106,土地1建物1車位1,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322,191.89,4,2,2,有,有,41600000,216791,坡道平面,33.33,0,,RPTOMLSLKINFFCA48CA
內湖區,房地(土地+建物),臺北市內湖區文德路31~60號,20.2,住,,,1071118,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730208,115.28,2,2,2,有,有,16500000,143130,,0.0,0,含增建或未登記建物。;,RPUNMLMJJHOFFCA57CA
中山區,房地(土地+建物)+車位,臺北市中山區樂群三路31~60號,44.76,商,,,1071127,土地1建物1車位1,三層,六層,辦公商業大樓,商業用,鋼筋混凝土造,0971224,233.39,3,2,2,有,有,54000000,231372,坡道平面,0.0,0,,RPTOMLQLKINFFCA28CA
中山區,房地(土地+建物),臺北市中山區林森北路85巷31~60號,6.5,商,,,1071213,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701231,30.65,2,1,1,有,無,5500000,179445,,0.0,0,,RPOPMLNJJHOFFCA27CA
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路326巷31~60號,23.82,住,,,1071129,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870817,96.88,2,2,1,有,有,17800000,183732,其他,0.0,0,,RPWNMLRJJHOFFCA28CA
中山區,房地(土地+建物),臺北市中山區復興北路181~210號,16.19,住,,,1071019,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0750609,84.7,2,1,1,有,有,11000000,129870,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLTJJHOFFCA77CA
中山區,房地(土地+建物),臺北市中山區新生北路三段56巷1~30號,8.02,商,,,1071018,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700410,86.7,1,1,1,有,有,12300000,141869,,0.0,0,,RPPQMLLKJHOFFCA37CA
松山區,房地(土地+建物),臺北市松山區八德路四段601~630號,34.57,商,,,1071105,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770816,219.47,4,2,2,有,有,25000000,113911,,0.0,0,含增建或未登記建物。;,RPXNMLLLKINFFDA18CA
松山區,房地(土地+建物),臺北市松山區民族東路691~720號,11.24,住,,,1071214,土地1建物1車位0,一層,七層,店面(店鋪),住商用,鋼筋混凝土造,,67.62,0,0,0,無,無,18500000,273588,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLLLKINFFDA97CA
松山區,房地(土地+建物),臺北市松山區南京東路五段251巷50弄1~30號,37.0,住,,,1071205,土地2建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,105.44,3,2,1,有,無,19500000,184939,,0.0,0,,RPPNMLMLKINFFDA47CA
信義區,房地(土地+建物),臺北市信義區中坡北路1~30號,8.08,住,,,1071127,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730712,77.33,2,2,1,有,有,13800000,178456,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLMLKINFFDA87CA
信義區,房地(土地+建物),臺北市信義區莊敬路341巷1~30號,20.58,商,,,1071119,土地1建物1車位0,一層,五層,店面(店鋪),住家用,鋼筋混凝土造,0730430,74.13,3,1,1,有,無,22880000,308647,,0.0,0,含增建或未登記建物。;,RPOOMLMLKINFFDA47CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段451~480號,12.63,商,,,1071110,土地3建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941006,73.74,2,2,2,有,有,24500000,332248,,0.0,0,,RPOPMLPLKINFFDA87CA
松山區,房地(土地+建物)+車位,臺北市松山區三民路43巷1~30號,48.36,住,,,1071126,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951218,224.58,3,2,2,有,有,44180000,196723,坡道平面,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄。民國102年12月23日簽訂之預約買賣，此標的為軍眷住宅。,RPRQMLOLKINFFDA18CA
南港區,房地(土地+建物),臺北市南港區興中路56巷1~30號,5.3,商,,,1071026,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,25.3,3,2,1,有,無,3300000,130435,,0.0,0,親友、員工或其他特殊關係間之交易。;共有人(姊妹)承買,RPOOMLRLKINFFDA97CA
信義區,房地(土地+建物),臺北市信義區莊敬路391巷3弄1~30號,15.84,住,,,1071119,土地5建物2車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750206,76.64,2,1,1,有,有,15000000,195720,,0.0,0,,RPRNMLMJJHOFFDA37CA
信義區,房地(土地+建物),臺北市信義區吳興街284巷22弄91~120號,19.27,住,,,1071117,土地3建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060718,49.63,0,0,0,無,有,12150000,244812,,0.0,0,,RPOPMLLKJHOFFDA27CA
松山區,房地(土地+建物)+車位,臺北市松山區南京東路四段1~30號,19.67,商,,,1071204,土地2建物2車位3,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971205,182.38,3,3,3,有,有,55000000,301568,升降機械,0.0,0,,RPOOMLQKJHOFFDA67CA
