鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大安區,房地(土地+建物)+車位,臺北市大安區市民大道三段181~210號,32.9,住,,,1071205,土地2建物1車位2,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050111.0,321.67999999999995,4,2,2,有,有,85423000,292646.0,坡道平面,49.6,5800000,,RPVOMLMLJHOFFFA28CA
大安區,房地(土地+建物)+車位,臺北市大安區市民大道三段181~210號,38.95,住,,,1071205,土地2建物1車位2,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050111.0,374.35,4,2,2,有,有,101085000,292794.0,坡道平面,49.6,6000000,,RPWOMLMLJHOFFFA38CA
大同區,房地(土地+建物)+車位,臺北市大同區昌吉街31~60號,33.33,住,,,1071118,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010112.0,308.14,4,2,2,有,有,51000000,165504.0,坡道平面,0.0,5000000,"含增建或未登記建物。本物件建物總價為930萬元,土地總價為4170萬元。",RPVNMLKKJHOFFBA57DA
南港區,房地(土地+建物)+車位,臺北市南港區東明街31~60號,19.53,住,,,1071119,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971110.0,125.9,2,2,1,有,有,22100000,243146.0,坡道平面,45.29,2500000,,RPPNMLTLKINFFDA28DA
大安區,房地(土地+建物),臺北市大安區敦化南路二段151~180號,13.54,其他,,,1071104,土地2建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740417.0,135.07,4,2,2,有,有,31500000,233212.0,,0.0,0,含增建或未登記建物。,RPTNMLPLKINFFFA48DA
大安區,房地(土地+建物)+車位,臺北市大安區敦南街61~90號,61.4,住,,,1071206,土地1建物1車位3,三層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005.0,559.4000000000002,4,2,4,有,有,173360000,309903.0,坡道平面,118.89,0,,RPPOMLNJJHOFFFA57CA
大安區,房地(土地+建物)+車位,臺北市大安區敦南街61~90號,61.4,住,,,1071211,土地1建物1車位3,二十五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005.0,529.31,4,2,4,有,有,212600000,401655.0,坡道平面,88.8,0,,RPQOMLNJJHOFFFA67CA
大安區,房地(土地+建物)+車位,臺北市大安區和平東路一段91~120號,52.71,商,,,1071210,土地1建物1車位6,三十六層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031224.0,899.1099999999999,1,2,5,有,有,470000000,647510.0,坡道平面,204.14,20000000,,RPPNMLRJJHOFFFA87CA
中山區,房地(土地+建物)+車位,臺北市中山區民權東路一段61~90號,24.37,商,,,1071206,土地1建物1車位2,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050524.0,290.7100000000001,2,2,2,有,有,78410000,319446.0,坡道平面,67.48,7100000,,RPPPMLRLKINFFCA08CA
中山區,房地(土地+建物)+車位,臺北市中山區民權東路一段61~90號,24.28,商,,,1071206,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050524.0,264.62,3,1,2,有,有,76790000,319170.0,坡道平面,33.74,3100000,,RPQNMLSLKINFFCA08CA
中正區,房地(土地+建物),臺北市中正區中華路一段95巷1~30號,23.33,商,,,1071013,土地1建物1車位0,九層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050622.0,268.11,0,0,0,無,無,69750000,260154.0,,0.0,0,,RPUNMLLKJHOFFBA47CA
西區,房地(土地+建物)+車位,臺中市西區向上路一段451~480號,17.24,住,,,1071101,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,861205.0,165.11,3,2,2,有,有,9500000,57537.0,坡道機械,0.0,0,,RPWNMLNKJHOFFAB87CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段661~690號,9.64,商,,,1071101,土地1建物1車位1,十八層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840415.0,142.56,3,2,2,有,有,8450000,59273.0,坡道機械,0.0,0,,RPWQMLMLKINFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍和街1~30號,29.32,住,,,1071201,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,801226.0,194.77,4,2,2,有,有,7850000,43420.0,坡道平面,37.01,1000000,含增建或未登記建物。,RPUNMLTLKINFFBB58CA
北區,房地(土地+建物),臺中市北區中清路一段631~660號,8.58,住,,,1071001,土地1建物1車位0,十一層，十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880616.0,104.31,2,1,2,有,有,4000000,38347.0,,0.0,0,,RPXPMLPKJHOFFBB48CA
